C_PDB,Structural_class,Flexible_class,Docking_case,Binding_affinity,C_resolution,C_chain_PR,C_pro_chain,C_pro_seq_length,C_RNA_chain,C_RNA_seq_length,U_pro_PDB,U_pro_resolution,U_pro_chain,U_pro_seq_length,U_RNA_PDB,U_RNA_resolution,U_RNA_chain,U_RNA_seq_length
1ASY,A,R,UU,yes,2.9, A:R,A,487,R,73,1EOV,2.3,A,487,2TRA,3,A,73
1B23,A,F,UU,no,2.6, P:R,P,397,R,74,1TUI,2.7,A,397,1U0B*,2.3,A,74
1C0A,A,S,UU,no,2.4, A:B,A,585,B,71,1EQR,2.7,A,585,1EFW*,3,C,71
1QTQ,A,S,UU,yes,2.25, A:B,A,523,B,72,1NYL,2.6,A,523,3KNH*,3,Y,72
2BTE,A,R,UU,no,2.9, A:B,A,811,B,33,1OBC,2.1,A,811,2NQP*,3.5,F,35
2DRB,A,S,UU,yes,2.8, A:B,A,429,B,30,1UET,2,A,429,3Q1Q*,3.8,C,30
2FMT,A,R,UU,yes,2.8, A:C,A,308,C,77,1FMT,2,A,308,3CW6,3.3,A,77
2ZZM,A,F,UU,no,2.65, A:B,A,321,B,61,2YX1,2.2,A,321,1WZ2*,3.21,C,67
3HL2,A,R,UU,yes,2.81,  AA'BB':E,AEKM,429+429+429+429,I,69,3BC8,1.65,ADGJ,429+429+429+429,3RG5,2,A,67
3VJR,A,R,UU,no,2.4, A:B,A,193,B,19,2PTH,1.2,A,193,1NJM*,3.6,5,19
5X6B,A,R,UU,yes,2.596,  IJEF:P,IJEF,362+364+68+68,P,70,3WKR,2.803,ABCD,362+364+68+68,2ZZN,2.95,C,70
6LVR,A,F,UU,yes,2.85, C:D,C,188,D,72,4G24,1.95,A,188,1I9V,2.6,A,72
7YSE,A,F,UU,no,2.907,  AC:E,AC,298+522,E,40,7EIV,2.68,AC,298+522,7F36*,3.098,E,40
1DFU,B,F,UU,yes,1.8,  P:MN,P,94,MN,19+19,1B75,NMR,A,94,364D,3,CB,15+23
1FEU,B,S,UU,no,2.3,  A:BC,A,177,BC,18+21,2J01,2.8,Z,177,364D,4,BC,19+20
1MMS,B,F,UU,yes,2.57, A:C,A,133,C,52,2K3F,NMR,A,133,3I9C*,3.5,A,52
3IEV,B,R,UU,yes,1.9, A:D,A,300,D,11,7C1O,2.18,A,300,1SDR,2.6,BC,11
1OOA,C,F,UU,yes,2.45, A:C,A,312,C,27,1LE5,2.75,B,312,2JWV*,NMR,A,27
1R3E,C,F,UU,no,2.1, A:C,A,304,C,17,1ZE1,2.9,A,304,1EHZ,1.93,A,17
2R8S,C,S,UU,yes,1.95,  LH:R,LH,206+207,R,158,2HFF,1.95,HL,207+206,1HR2,2.25,A,158
3SNP,C,F,UU,yes,2.8, A:C,A,841,C,30,2B3Y,1.85,A,841,1AQO*,NMR,A,20
